section,question,source,tag_lv0,tag_lv1,tag_plus,cnt_chosen,avg_res_time
experience,Describe a difficult bug you were tasked with fixing in a large application. How did you debug the issue?,bank,programming,perspective,SE,0,2
knowledge,How do you explain technical challenges to a stakeholder or partner who does not have technical knowledge or backgrounds?,bank,programming,perspective,SE,0,2
experience,Which project management tools do you feel are most useful in your role as a software engineer?,bank,programming,perspective,SE,0,2
expertise,What are your thoughts on software testing?,bank,programming,perspective,SE,0,2
programmingskill,"Agile, Scrum, XP, PRINCE2, Lean. Have you ever worked using any of these project methodologies? Which is your favorite and why?",bank,programming,perspective,SE,0,2
personality,Which specific software engineering trends interest you the most?,bank,programming,perspective,SE,0,2
experience,How do you handle project management? Which steps do you use?,bank,programming,perspective,SE,0,2
experience,What development methodologies are you comfortable following?,bank,programming,perspective,SE,0,2
knowledge,What is the difference between the QA and software testing?,bank,programming,perspective,SE,0,2
knowledge,What is the software development life cycle? What are the differences between them? ,bank,programming,perspective,SE,0,2
knowledge,What are CASE tools?,bank,programming,perspective,SE,0,2
knowledge,What are Verification and Validation?,bank,programming,perspective,SE,0,2
knowledge,Define black box testing and white box testing?,bank,programming,perspective,SE,0,2
knowledge,Explain the concept of modularization.,bank,programming,perspective,SE,0,2
knowledge,What are functional and non-functional requirements?,bank,programming,perspective,SE,0,2
intro,Nice to meet you. Please introduce yourself briefly in 1minute.,bank,general,introduction,ALL,0,2
intro,Please describe your skills and abilities based on the requirements listed in our job description.,bank,general,introduction,ALL,0,2
programmingskill,"Of all the programming languages you have ever learned, please describe the most difficult programming language to learn and why.",bank,programming,perspective,ALL,0,2
programmingskill,What programming language do you find comfortable to use for data analysis? Why?,bank,programming,perspective,ALL,0,2
programmingskill,Do you have your own know-how to quickly learn a programming language you are new to?,bank,programming,perspective,ALL,0,2
experience,What was the most challengeing project you involved and what was your role in that project? Why was it challenging?,bank,project,difficulty,ALL,0,2
experience,Are there any insights or perspectives gained through many projects?,bank,project,perspective,ALL,0,2
experience,Describe the process of selecting the model architecture for one of your projects.,bank,project,process,DS,0,2
experience,"If you could change one thing about a specific data science project you have worked on, what would it be and why?",bank,project,process,DS,0,2
experience,Tell me about a time you had to start a new project or an initiative without a lot of data or experience to develop a strategy with.,bank,project,process,DS,0,2
experience,Do you have experience dealing with data with many missing values? how did you handle it?,bank,experience,difficulty,DS,0,2
experience,Describe what steps you take to ensure accuracy and quality in all your projects. Give me an example.,bank,project,management,DS,0,2
experience,"Think back to a data project you have worked on where you encountered a problem or challenge. What was the situation, what was the obstacle, and how did you overcome it?",bank,project,difficulty,ALL,0,2
